dataset,variant,baseline,n_subjects,n_seeds,erpxttn_mean_auroc,erpxttn_seed_sd,mean_delta_baseline_minus_erpxttn,median_delta,sem,wilcoxon_p,wilcoxon_p_fdr,rank_biserial_effect
ERP CORE N170,3ch,xdawn_rg,40,1,0.7369,0.0035,0.011,0.0115,0.0074,0.13508384089254832,0.20262576133882249,0.2732
ERP CORE N170,3ch,eeg_deformer,40,5,0.7369,0.0035,-0.0073,-0.0043,0.0107,0.32689447529082827,0.4202928968024935,-0.1805
ERP CORE N170,3ch,epmn,40,5,0.7369,0.0035,-0.0254,-0.0278,0.0071,0.0009936344267771346,0.002980903280331404,-0.5805
ERP CORE N2pc,full,eegnet,40,5,0.6819,0.0009,0.0166,0.016,0.0054,0.0032013230738812126,0.004801984610821819,0.5244
ERP CORE N2pc,full,xdawn_rg,40,1,0.6819,0.0009,-0.0101,-0.0139,0.006,0.08665273707811139,0.12997910561716708,-0.3122
ERP CORE N2pc,full,eeg_deformer,40,5,0.6819,0.0009,0.0186,0.019,0.0064,0.01019742315656913,0.018355361681824434,0.461
ERP CORE N2pc,full,epmn,40,5,0.6819,0.0009,-0.0116,-0.0136,0.0044,0.014677642795504653,0.03302469628988547,-0.439
ERP CORE N2pc,3ch,eegnet,40,5,0.6392,0.0012,0.0092,0.0046,0.0041,0.049760567819248536,0.0746408517288728,0.3561
ERP CORE N2pc,3ch,xdawn_rg,40,1,0.6392,0.0012,0.0096,0.001,0.0047,0.11814906760264421,0.20262576133882249,0.2854
ERP CORE N2pc,3ch,eeg_deformer,40,5,0.6392,0.0012,0.0014,0.0011,0.0044,0.7446043581785489,0.7446043581785489,0.061
ERP CORE N2pc,3ch,epmn,40,5,0.6392,0.0012,-0.005,-0.0041,0.0036,0.17869641572360706,0.17869641572360706,-0.2463
ERP CORE N400,full,eegnet,40,5,0.7227,0.0018,0.038,0.0409,0.0051,1.3795215636491776e-08,4.1385646909475327e-08,0.9049
ERP CORE N400,full,xdawn_rg,40,1,0.7227,0.0018,-0.0108,-0.0127,0.0062,0.12810258085846726,0.16470331824660076,-0.278
ERP CORE N400,full,eeg_deformer,40,5,0.7227,0.0018,0.0048,0.0119,0.0074,0.3611039877814619,0.40624198625414465,0.1683
ERP CORE N400,full,epmn,40,5,0.7227,0.0018,-0.0026,-0.0038,0.0056,0.6463036218483467,0.8309617995193028,-0.0854
ERP CORE N400,3ch,eegnet,40,5,0.5649,0.0031,0.0207,0.0213,0.0056,0.0004794529413629789,0.0010787691180667025,0.6122
ERP CORE N400,3ch,xdawn_rg,40,1,0.5649,0.0031,0.0148,0.0189,0.0054,0.01355766506276268,0.03050474639121603,0.4439
ERP CORE N400,3ch,eeg_deformer,40,5,0.5649,0.0031,0.0131,0.0138,0.0053,0.017831046616265667,0.053493139848797,0.4268
ERP CORE N400,3ch,epmn,40,5,0.5649,0.0031,0.0084,0.0108,0.0063,0.12471638389069994,0.14030593187703744,0.2805
ERP CORE P300,full,eegnet,40,5,0.6998,0.0039,0.0722,0.0774,0.009,5.844412953592837e-09,2.6299858291167766e-08,0.9195
